Datum von;Datum bis;Netzlast [MWh] Berechnete Auflösungen;Netzlast inkl. Pumpspeicher [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.03.2021 00:00;01.03.2021 01:00;47.857,25;50.104,50;2.247,25;43.457,25
01.03.2021 01:00;01.03.2021 02:00;46.619,25;48.432,25;1.813,00;42.530,25
01.03.2021 02:00;01.03.2021 03:00;46.391,50;49.743,00;3.351,50;42.560,50
01.03.2021 03:00;01.03.2021 04:00;46.883,50;49.016,25;2.132,75;43.414,75
01.03.2021 04:00;01.03.2021 05:00;48.725,75;50.633,50;1.907,75;45.293,50
01.03.2021 05:00;01.03.2021 06:00;52.685,25;53.316,50;631,25;49.218,25
01.03.2021 06:00;01.03.2021 07:00;60.772,25;60.851,75;79,50;57.281,25
01.03.2021 07:00;01.03.2021 08:00;66.481,25;66.485,25;4,00;61.920,75
01.03.2021 08:00;01.03.2021 09:00;69.225,75;69.230,25;4,50;60.366,50
01.03.2021 09:00;01.03.2021 10:00;69.804,50;69.868,00;63,50;56.111,00
01.03.2021 10:00;01.03.2021 11:00;70.420,25;70.440,75;20,50;52.570,75
01.03.2021 11:00;01.03.2021 12:00;70.779,25;71.988,75;1.209,50;49.536,25
01.03.2021 12:00;01.03.2021 13:00;70.661,25;73.774,00;3.112,75;46.873,00
01.03.2021 13:00;01.03.2021 14:00;68.959,25;72.146,25;3.187,00;44.352,75
01.03.2021 14:00;01.03.2021 15:00;67.161,00;69.526,00;2.365,00;44.430,25
01.03.2021 15:00;01.03.2021 16:00;65.874,75;67.502,25;1.627,50;48.145,50
01.03.2021 16:00;01.03.2021 17:00;65.067,50;65.487,50;420,00;54.589,00
01.03.2021 17:00;01.03.2021 18:00;66.788,00;67.033,75;245,75;62.301,75
01.03.2021 18:00;01.03.2021 19:00;70.454,75;70.495,00;40,25;65.776,00
01.03.2021 19:00;01.03.2021 20:00;70.470,50;70.482,50;12,00;64.056,00
01.03.2021 20:00;01.03.2021 21:00;66.605,00;66.663,25;58,25;59.392,25
01.03.2021 21:00;01.03.2021 22:00;62.998,75;63.141,50;142,75;55.594,00
01.03.2021 22:00;01.03.2021 23:00;59.803,00;60.452,50;649,50;52.238,25
01.03.2021 23:00;02.03.2021 00:00;56.017,50;58.615,25;2.597,75;48.507,50
02.03.2021 00:00;02.03.2021 01:00;52.886,75;56.235,00;3.348,25;45.663,50
02.03.2021 01:00;02.03.2021 02:00;51.375,75;55.865,25;4.489,50;44.548,25
02.03.2021 02:00;02.03.2021 03:00;50.400,75;54.468,00;4.067,25;44.066,25
02.03.2021 03:00;02.03.2021 04:00;50.927,50;54.860,00;3.932,50;45.084,50
02.03.2021 04:00;02.03.2021 05:00;52.524,25;55.641,75;3.117,50;46.941,00
02.03.2021 05:00;02.03.2021 06:00;55.913,50;56.700,25;786,75;50.589,00
02.03.2021 06:00;02.03.2021 07:00;62.735,00;63.164,50;429,50;57.656,75
02.03.2021 07:00;02.03.2021 08:00;67.417,50;67.423,00;5,50;61.226,75
02.03.2021 08:00;02.03.2021 09:00;69.729,00;69.748,25;19,25;58.318,25
02.03.2021 09:00;02.03.2021 10:00;70.086,75;70.215,75;129,00;52.435,00
02.03.2021 10:00;02.03.2021 11:00;70.366,75;70.768,00;401,25;47.783,50
02.03.2021 11:00;02.03.2021 12:00;70.463,50;71.878,50;1.415,00;44.158,00
02.03.2021 12:00;02.03.2021 13:00;69.607,50;72.492,50;2.885,00;41.173,75
02.03.2021 13:00;02.03.2021 14:00;67.987,25;71.018,75;3.031,50;39.311,50
02.03.2021 14:00;02.03.2021 15:00;66.100,25;68.240,75;2.140,50;40.864,00
02.03.2021 15:00;02.03.2021 16:00;64.924,50;65.938,75;1.014,25;46.131,25
02.03.2021 16:00;02.03.2021 17:00;63.627,25;64.216,25;589,00;53.133,50
02.03.2021 17:00;02.03.2021 18:00;65.316,75;65.450,25;133,50;61.469,25
02.03.2021 18:00;02.03.2021 19:00;69.177,50;69.181,00;3,50;65.800,50
02.03.2021 19:00;02.03.2021 20:00;69.389,50;69.391,00;1,50;64.869,00
02.03.2021 20:00;02.03.2021 21:00;65.716,75;65.752,00;35,25;60.631,25
02.03.2021 21:00;02.03.2021 22:00;61.873,75;62.192,50;318,75;56.649,75
02.03.2021 22:00;02.03.2021 23:00;58.776,00;59.205,50;429,50;54.082,75
02.03.2021 23:00;03.03.2021 00:00;55.200,00;55.770,75;570,75;50.976,00
03.03.2021 00:00;03.03.2021 01:00;52.056,00;53.258,50;1.202,50;48.210,50
03.03.2021 01:00;03.03.2021 02:00;50.505,00;52.840,25;2.335,25;46.924,25
03.03.2021 02:00;03.03.2021 03:00;49.820,00;52.643,75;2.823,75;46.350,75
03.03.2021 03:00;03.03.2021 04:00;50.376,50;53.028,00;2.651,50;46.802,25
03.03.2021 04:00;03.03.2021 05:00;52.259,25;53.520,00;1.260,75;48.388,00
03.03.2021 05:00;03.03.2021 06:00;55.918,75;56.635,75;717,00;51.732,00
03.03.2021 06:00;03.03.2021 07:00;62.930,50;63.499,75;569,25;58.581,00
03.03.2021 07:00;03.03.2021 08:00;68.181,00;68.193,25;12,25;62.449,25
03.03.2021 08:00;03.03.2021 09:00;70.879,50;70.884,25;4,75;60.469,50
03.03.2021 09:00;03.03.2021 10:00;70.725,50;70.734,25;8,75;55.348,50
03.03.2021 10:00;03.03.2021 11:00;70.587,25;70.701,50;114,25;51.971,50
03.03.2021 11:00;03.03.2021 12:00;70.834,75;71.097,75;263,00;50.307,00
03.03.2021 12:00;03.03.2021 13:00;70.162,75;70.734,75;572,00;48.914,00
03.03.2021 13:00;03.03.2021 14:00;68.894,00;71.534,00;2.640,00;48.337,25
03.03.2021 14:00;03.03.2021 15:00;67.508,00;68.499,50;991,50;49.125,50
03.03.2021 15:00;03.03.2021 16:00;66.388,00;67.053,00;665,00;51.661,75
03.03.2021 16:00;03.03.2021 17:00;65.442,00;66.372,25;930,25;54.829,00
03.03.2021 17:00;03.03.2021 18:00;66.878,25;66.908,25;30,00;58.322,00
03.03.2021 18:00;03.03.2021 19:00;70.445,50;70.511,75;66,25;59.952,25
03.03.2021 19:00;03.03.2021 20:00;70.569,50;70.800,50;231,00;58.261,00
03.03.2021 20:00;03.03.2021 21:00;66.960,25;67.249,00;288,75;53.868,50
03.03.2021 21:00;03.03.2021 22:00;63.460,75;64.244,00;783,25;50.203,25
03.03.2021 22:00;03.03.2021 23:00;60.355,50;61.329,00;973,50;47.431,75
03.03.2021 23:00;04.03.2021 00:00;56.416,25;58.280,00;1.863,75;43.654,75
04.03.2021 00:00;04.03.2021 01:00;53.211,00;56.225,75;3.014,75;40.793,75
04.03.2021 01:00;04.03.2021 02:00;51.729,25;55.963,00;4.233,75;39.689,75
04.03.2021 02:00;04.03.2021 03:00;50.813,25;55.578,00;4.764,75;39.239,00
04.03.2021 03:00;04.03.2021 04:00;51.189,75;55.923,75;4.734,00;39.927,50
04.03.2021 04:00;04.03.2021 05:00;52.246,50;56.549,25;4.302,75;41.265,25
04.03.2021 05:00;04.03.2021 06:00;55.495,75;57.293,00;1.797,25;45.164,25
04.03.2021 06:00;04.03.2021 07:00;61.764,75;62.131,50;366,75;52.028,00
04.03.2021 07:00;04.03.2021 08:00;67.115,25;67.142,75;27,50;57.572,50
04.03.2021 08:00;04.03.2021 09:00;69.791,25;69.796,00;4,75;58.151,50
04.03.2021 09:00;04.03.2021 10:00;70.047,75;70.064,50;16,75;55.446,50
04.03.2021 10:00;04.03.2021 11:00;70.632,25;70.822,50;190,25;53.255,75
04.03.2021 11:00;04.03.2021 12:00;71.687,75;71.713,75;26,00;53.354,75
04.03.2021 12:00;04.03.2021 13:00;71.497,75;71.718,75;221,00;52.788,25
04.03.2021 13:00;04.03.2021 14:00;70.134,25;70.345,50;211,25;51.893,25
04.03.2021 14:00;04.03.2021 15:00;69.491,50;69.962,00;470,50;53.066,25
04.03.2021 15:00;04.03.2021 16:00;68.881,00;68.901,75;20,75;54.372,00
04.03.2021 16:00;04.03.2021 17:00;68.068,00;68.285,50;217,50;56.100,25
04.03.2021 17:00;04.03.2021 18:00;68.480,25;68.750,00;269,75;58.339,25
04.03.2021 18:00;04.03.2021 19:00;70.763,50;70.763,50;0,00;60.811,00
04.03.2021 19:00;04.03.2021 20:00;70.105,00;70.301,75;196,75;58.804,75
04.03.2021 20:00;04.03.2021 21:00;66.531,75;67.359,25;827,50;53.918,00
04.03.2021 21:00;04.03.2021 22:00;62.942,00;63.733,00;791,00;49.314,75
04.03.2021 22:00;04.03.2021 23:00;59.943,00;60.959,25;1.016,25;46.601,75
04.03.2021 23:00;05.03.2021 00:00;56.057,25;57.836,00;1.778,75;42.826,00
05.03.2021 00:00;05.03.2021 01:00;53.250,50;55.853,50;2.603,00;40.992,00
05.03.2021 01:00;05.03.2021 02:00;51.700,50;55.501,50;3.801,00;40.119,25
05.03.2021 02:00;05.03.2021 03:00;50.690,00;54.792,00;4.102,00;39.619,75
05.03.2021 03:00;05.03.2021 04:00;50.829,50;54.847,75;4.018,25;40.977,25
05.03.2021 04:00;05.03.2021 05:00;52.013,25;55.872,50;3.859,25;43.194,50
05.03.2021 05:00;05.03.2021 06:00;55.678,75;56.859,25;1.180,50;47.169,25
05.03.2021 06:00;05.03.2021 07:00;62.159,25;62.522,50;363,25;54.033,75
05.03.2021 07:00;05.03.2021 08:00;67.266,75;67.473,75;207,00;59.247,25
05.03.2021 08:00;05.03.2021 09:00;70.073,00;70.078,00;5,00;59.524,25
05.03.2021 09:00;05.03.2021 10:00;71.067,50;71.109,25;41,75;56.172,00
05.03.2021 10:00;05.03.2021 11:00;71.573,50;71.635,50;62,00;51.526,00
05.03.2021 11:00;05.03.2021 12:00;72.353,75;72.471,75;118,00;48.630,75
05.03.2021 12:00;05.03.2021 13:00;71.521,50;71.661,50;140,00;47.174,25
05.03.2021 13:00;05.03.2021 14:00;69.782,00;69.925,75;143,75;46.578,25
05.03.2021 14:00;05.03.2021 15:00;68.274,25;68.360,75;86,50;47.236,50
05.03.2021 15:00;05.03.2021 16:00;67.004,50;67.196,00;191,50;48.777,25
05.03.2021 16:00;05.03.2021 17:00;66.378,75;67.073,00;694,25;52.860,25
